MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
366606000,2016-01-01T00:05:49,21.31051,-157.86746,0.0,-120.4,189.0,HAWAII RESPONDER,IMO9043897,WBO8589,1011,under way using engine,63.57,13.43,4.4,54
366999649,2016-01-01T00:11:32,21.30910,-157.87376,0.0,-167.0,511.0,CG AHI,,NBDE,1018,under way using engine,26.52,5.79,,
366999649,2016-01-01T00:18:23,21.30909,-157.87378,0.0,-159.9,511.0,CG AHI,,NBDE,1018,under way using engine,26.52,5.79,,
366606000,2016-01-01T00:18:59,21.31050,-157.86747,0.0,-120.4,189.0,HAWAII RESPONDER,IMO9043897,WBO8589,1011,under way using engine,63.57,13.43,4.4,54
366999649,2016-01-01T00:26:21,21.30910,-157.87377,0.0,-160.4,511.0,CG AHI,,NBDE,1018,under way using engine,26.52,5.79,,
366606000,2016-01-01T00:28:09,21.31050,-157.86749,0.0,-120.4,189.0,HAWAII RESPONDER,IMO9043897,WBO8589,1011,under way using engine,63.57,13.43,4.4,54
366999649,2016-01-01T00:28:32,21.30909,-157.87379,0.0,121.0,511.0,CG AHI,,NBDE,1018,under way using engine,26.52,5.79,,
366606000,2016-01-01T00:29:19,21.31050,-157.86748,0.0,-120.4,190.0,HAWAII RESPONDER,IMO9043897,WBO8589,1011,under way using engine,63.57,13.43,4.4,54
366999649,2016-01-01T00:37:20,21.30912,-157.87376,0.0,-181.4,511.0,CG AHI,,NBDE,1018,under way using engine,26.52,5.79,,
366606000,2016-01-01T00:38:18,21.31050,-157.86749,0.0,-120.4,190.0,HAWAII RESPONDER,IMO9043897,WBO8589,1011,under way using engine,63.57,13.43,4.4,54
367309860,2016-01-01T00:06:03,21.30994,-157.87021,0.0,0.0,303.0,NAMAHOE,IMO9162863,WDD9321,1025,under way using engine,32.64,11.27,4.5,31
366606000,2016-01-01T00:02:18,21.31050,-157.86748,0.0,-120.4,189.0,HAWAII RESPONDER,IMO9043897,WBO8589,1011,under way using engine,63.57,13.43,4.4,54
636016127,2016-01-01T00:02:50,21.28912,-157.92359,0.0,49.9,152.0,LEO SUN,IMO9457608,D5EP6,1024,at anchor,243.8,42,15.7,80
367084860,2016-01-01T00:12:24,55.33355,-160.49782,0.0,-185.2,345.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367084860,2016-01-01T00:13:34,55.33353,-160.49782,0.0,-170.3,345.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367084860,2016-01-01T00:14:44,55.33355,-160.49781,0.0,-162.6,345.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
636016127,2016-01-01T00:14:49,21.28925,-157.92348,0.1,95.0,156.0,LEO SUN,IMO9457608,D5EP6,1024,at anchor,243.8,42,15.7,80
367084860,2016-01-01T00:15:53,55.33356,-160.49780,0.0,-174.3,345.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367310270,2016-01-01T00:15:59,21.26591,-158.09533,8.1,121.3,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
367310270,2016-01-01T00:17:10,21.26450,-158.09290,8.2,120.5,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
367310270,2016-01-01T00:19:20,21.26294,-158.08807,8.0,104.1,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
367084860,2016-01-01T00:20:14,55.33355,-160.49781,0.0,-190.2,345.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367084860,2016-01-01T00:21:24,55.33353,-160.49783,0.0,-180.4,345.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
636016127,2016-01-01T00:23:50,21.28914,-157.92355,0.1,-159.3,154.0,LEO SUN,IMO9457608,D5EP6,1024,at anchor,243.8,42,15.7,80
636016127,2016-01-01T00:26:50,21.28912,-157.92361,0.1,-142.7,151.0,LEO SUN,IMO9457608,D5EP6,1024,at anchor,243.8,42,15.7,80
367310270,2016-01-01T00:52:50,21.26505,-158.00203,8.6,88.5,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
636016127,2016-01-01T00:56:50,21.28929,-157.92322,0.1,96.6,163.0,LEO SUN,IMO9457608,D5EP6,1024,at anchor,243.8,42,15.7,80
367084860,2016-01-01T00:57:54,55.33349,-160.49784,0.0,2.9,346.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367310270,2016-01-01T01:02:00,21.26597,-157.97883,8.5,86.6,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
367084860,2016-01-01T01:02:23,55.33349,-160.49782,0.0,-107.0,346.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367084860,2016-01-01T01:05:44,55.33349,-160.49784,0.0,-120.8,347.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367310270,2016-01-01T01:06:30,21.26627,-157.96750,8.4,89.0,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
367310270,2016-01-01T00:00:09,21.28420,-158.12739,7.8,135.0,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
366606000,2016-01-01T00:03:30,21.31049,-157.86749,0.0,-120.4,190.0,HAWAII RESPONDER,IMO9043897,WBO8589,1011,under way using engine,63.57,13.43,4.4,54
367310270,2016-01-01T00:06:49,21.27650,-158.11403,8.2,121.1,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
367084860,2016-01-01T00:11:22,55.33355,-160.49781,0.0,-170.4,346.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367310270,2016-01-01T00:12:30,21.26993,-158.10243,8.0,121.8,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
367084860,2016-01-01T00:24:54,55.33353,-160.49782,0.0,-183.2,345.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367310270,2016-01-01T00:27:20,21.26203,-158.06809,8.6,88.3,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
367084860,2016-01-01T00:28:15,55.33353,-160.49782,0.0,-186.2,345.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367084860,2016-01-01T00:34:03,55.33352,-160.49784,0.0,-53.9,346.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367084860,2016-01-01T00:36:14,55.33352,-160.49780,0.0,-126.3,345.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367084860,2016-01-01T00:37:15,55.33352,-160.49780,0.0,-119.8,346.0,PRIMUS,IMO8852423,WDI7790,1001,engaged in fishing,17.65,6.71,,30
367310270,2016-01-01T00:38:30,21.26336,-158.03906,9.0,87.4,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
367310270,2016-01-01T00:40:40,21.26367,-158.03342,8.8,87.3,511.0,NA'INA,,WDD9358,1005,under way using engine,28.77,7.9,,
